date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-03-04,RS,Aceguá,city,77,0,True,4942,4300034,1558.07365,0.0
2021-03-04,RS,Água Santa,city,320,7,True,3743,4300059,8549.29201,0.0219
2021-03-04,RS,Agudo,city,620,4,True,16401,4300109,3780.2573,0.0065
2021-03-04,RS,Ajuricaba,city,531,7,True,6987,4300208,7599.82825,0.0132
2021-03-04,RS,Alecrim,city,110,4,True,5827,4300307,1887.76386,0.0364
2021-03-04,RS,Alegrete,city,2902,70,True,73028,4300406,3973.81826,0.0241
2021-03-04,RS,Alegria,city,249,1,True,3374,4300455,7379.96443,0.004
2021-03-04,RS,Almirante Tamandaré do Sul,city,118,0,True,1949,4300471,6054.38687,0.0
2021-03-04,RS,Alpestre,city,182,3,True,6067,4300505,2999.83517,0.0165
2021-03-04,RS,Alto Alegre,city,44,0,True,1613,4300554,2727.83633,0.0
2021-03-04,RS,Alto Feliz,city,126,0,True,3036,4300570,4150.19763,0.0
2021-03-04,RS,Alvorada,city,11864,312,True,211352,4300604,5613.38431,0.0263
2021-03-04,RS,Amaral Ferrador,city,161,2,True,7085,4300638,2272.40649,0.0124
2021-03-04,RS,Ametista do Sul,city,305,3,True,7403,4300646,4119.95137,0.0098
2021-03-04,RS,André da Rocha,city,58,0,True,1343,4300661,4318.6895,0.0
2021-03-04,RS,Anta Gorda,city,437,2,True,5961,4300703,7330.98473,0.0046
2021-03-04,RS,Antônio Prado,city,1203,12,True,13045,4300802,9221.92411,0.01
2021-03-04,RS,Arambaré,city,104,2,True,3562,4300851,2919.70803,0.0192
2021-03-04,RS,Araricá,city,490,13,True,5771,4300877,8490.72951,0.0265
2021-03-04,RS,Aratiba,city,239,5,True,6189,4300901,3861.6901,0.0209
2021-03-04,RS,Arroio do Meio,city,1275,13,True,20967,4301008,6080.9844,0.0102
2021-03-04,RS,Arroio do Padre,city,84,1,True,2951,4301073,2846.49271,0.0119
2021-03-04,RS,Arroio do Sal,city,571,13,True,10279,4301057,5555.01508,0.0228
2021-03-04,RS,Arroio dos Ratos,city,461,20,True,14177,4301107,3251.74579,0.0434
2021-03-04,RS,Arroio do Tigre,city,687,5,True,13413,4301206,5121.89667,0.0073
2021-03-04,RS,Arroio Grande,city,794,13,True,18238,4301305,4353.54754,0.0164
2021-03-04,RS,Arvorezinha,city,554,12,True,10423,4301404,5315.16838,0.0217
2021-03-04,RS,Augusto Pestana,city,176,2,True,6602,4301503,2665.85883,0.0114
2021-03-04,RS,Áurea,city,116,1,True,3535,4301552,3281.471,0.0086
2021-03-04,RS,Bagé,city,3958,89,True,121335,4301602,3262.0431,0.0225
2021-03-04,RS,Balneário Pinhal,city,606,19,True,14363,4301636,4219.17427,0.0314
2021-03-04,RS,Barão,city,318,5,True,6202,4301651,5127.37827,0.0157
2021-03-04,RS,Barão de Cotegipe,city,422,4,True,6620,4301701,6374.62236,0.0095
2021-03-04,RS,Barão do Triunfo,city,237,3,True,7519,4301750,3152.0149,0.0127
2021-03-04,RS,Barracão,city,215,5,True,5256,4301800,4090.56317,0.0233
2021-03-04,RS,Barra do Guarita,city,89,0,True,3257,4301859,2732.57599,0.0
2021-03-04,RS,Barra do Quaraí,city,168,2,True,4227,4301875,3974.44996,0.0119
2021-03-04,RS,Barra do Ribeiro,city,628,35,True,13556,4301909,4632.635,0.0557
2021-03-04,RS,Barra do Rio Azul,city,51,1,True,1655,4301925,3081.571,0.0196
2021-03-04,RS,Barra Funda,city,269,5,True,2551,4301958,10544.88436,0.0186
2021-03-04,RS,Barros Cassal,city,318,2,True,11182,4302006,2843.8562,0.0063
2021-03-04,RS,Benjamin Constant do Sul,city,132,0,True,1958,4302055,6741.57303,0.0
2021-03-04,RS,Bento Gonçalves,city,9941,177,True,121803,4302105,8161.53954,0.0178
2021-03-04,RS,Boa Vista das Missões,city,56,1,True,2092,4302154,2676.86424,0.0179
2021-03-04,RS,Boa Vista do Buricá,city,451,4,True,6712,4302204,6719.3087,0.0089
2021-03-04,RS,Boa Vista do Cadeado,city,92,0,True,2468,4302220,3727.71475,0.0
2021-03-04,RS,Boa Vista do Incra,city,109,1,True,2616,4302238,4166.66667,0.0092
2021-03-04,RS,Boa Vista do Sul,city,159,2,True,2778,4302253,5723.54212,0.0126
2021-03-04,RS,Bom Jesus,city,469,11,True,11309,4302303,4147.13945,0.0235
2021-03-04,RS,Bom Princípio,city,943,13,True,14255,4302352,6615.22273,0.0138
2021-03-04,RS,Bom Progresso,city,49,0,True,1899,4302378,2580.30542,0.0
2021-03-04,RS,Bom Retiro do Sul,city,687,11,True,12390,4302402,5544.79419,0.016
2021-03-04,RS,Boqueirão do Leão,city,346,11,True,7702,4302451,4492.33965,0.0318
2021-03-04,RS,Bossoroca,city,126,6,True,6205,4302501,2030.62047,0.0476
2021-03-04,RS,Bozano,city,133,0,True,2111,4302584,6300.3316,0.0
2021-03-04,RS,Braga,city,94,2,True,3311,4302600,2839.02144,0.0213
2021-03-04,RS,Brochier,city,214,0,True,5104,4302659,4192.78997,0.0
2021-03-04,RS,Butiá,city,779,29,True,20952,4302709,3718.02215,0.0372
2021-03-04,RS,Caçapava do Sul,city,1521,26,True,33548,4302808,4533.80231,0.0171
2021-03-04,RS,Cacequi,city,134,3,True,12423,4302907,1078.64445,0.0224
2021-03-04,RS,Cachoeira do Sul,city,3177,42,True,81869,4303004,3880.58972,0.0132
2021-03-04,RS,Cachoeirinha,city,7570,186,True,131240,4303103,5768.05852,0.0246
2021-03-04,RS,Cacique Doble,city,215,3,True,5074,4303202,4237.28814,0.014
2021-03-04,RS,Caibaté,city,39,4,True,4823,4303301,808.62534,0.1026
2021-03-04,RS,Caiçara,city,307,3,True,4700,4303400,6531.91489,0.0098
2021-03-04,RS,Camaquã,city,3431,54,True,66478,4303509,5161.10593,0.0157
2021-03-04,RS,Camargo,city,234,2,True,2742,4303558,8533.91685,0.0085
2021-03-04,RS,Cambará do Sul,city,266,3,True,6406,4303608,4152.35717,0.0113
2021-03-04,RS,Campestre da Serra,city,110,0,True,3395,4303673,3240.05891,0.0
2021-03-04,RS,Campina das Missões,city,319,6,True,5398,4303707,5909.59615,0.0188
2021-03-04,RS,Campinas do Sul,city,315,5,True,5438,4303806,5792.5708,0.0159
2021-03-04,RS,Campo Bom,city,6554,111,True,69458,4303905,9435.91811,0.0169
2021-03-04,RS,Campo Novo,city,99,2,True,4376,4304002,2262.34004,0.0202
2021-03-04,RS,Campos Borges,city,199,1,True,3295,4304101,6039.45372,0.005
2021-03-04,RS,Candelária,city,1130,21,True,31421,4304200,3596.32093,0.0186
2021-03-04,RS,Cândido Godói,city,222,1,True,6151,4304309,3609.16924,0.0045
2021-03-04,RS,Candiota,city,401,5,True,9647,4304358,4156.73266,0.0125
2021-03-04,RS,Canela,city,4311,86,True,45488,4304408,9477.22476,0.0199
2021-03-04,RS,Canguçu,city,1541,27,True,56211,4304507,2741.4563,0.0175
2021-03-04,RS,Canoas,city,20000,689,True,348208,4304606,5743.69342,0.0345
2021-03-04,RS,Canudos do Vale,city,34,2,True,1705,4304614,1994.1349,0.0588
2021-03-04,RS,Capão Bonito do Sul,city,83,1,True,1641,4304622,5057.89153,0.012
2021-03-04,RS,Capão da Canoa,city,4437,86,True,54051,4304630,8208.9138,0.0194
2021-03-04,RS,Capão do Cipó,city,81,0,True,3699,4304655,2189.78102,0.0
2021-03-04,RS,Capão do Leão,city,932,32,True,25409,4304663,3667.99166,0.0343
2021-03-04,RS,Capela de Santana,city,140,4,True,12064,4304689,1160.47745,0.0286
2021-03-04,RS,Capitão,city,204,2,True,2763,4304697,7383.27904,0.0098
2021-03-04,RS,Capivari do Sul,city,477,2,True,4728,4304671,10088.83249,0.0042
2021-03-04,RS,Caraá,city,487,13,True,8350,4304713,5832.33533,0.0267
2021-03-04,RS,Carazinho,city,4146,66,True,62265,4304705,6658.63647,0.0159
2021-03-04,RS,Carlos Barbosa,city,2337,21,True,30241,4304804,7727.91905,0.009
2021-03-04,RS,Carlos Gomes,city,62,0,True,1351,4304853,4589.19319,0.0
2021-03-04,RS,Casca,city,807,10,True,9051,4304903,8916.14186,0.0124
2021-03-04,RS,Caseiros,city,192,6,True,3216,4304952,5970.14925,0.0312
2021-03-04,RS,Catuípe,city,405,7,True,8701,4305009,4654.6374,0.0173
2021-03-04,RS,Caxias do Sul,city,29559,461,True,517451,4305108,5712.42494,0.0156
2021-03-04,RS,Centenário,city,92,1,True,2877,4305116,3197.77546,0.0109
2021-03-04,RS,Cerrito,city,220,3,True,6047,4305124,3638.16769,0.0136
2021-03-04,RS,Cerro Branco,city,55,0,True,4706,4305132,1168.72078,0.0
2021-03-04,RS,Cerro Grande,city,184,3,True,2296,4305157,8013.93728,0.0163
2021-03-04,RS,Cerro Grande do Sul,city,285,9,True,12413,4305173,2295.98002,0.0316
2021-03-04,RS,Cerro Largo,city,779,9,True,14189,4305207,5490.16844,0.0116
2021-03-04,RS,Chapada,city,489,3,True,9239,4305306,5292.7806,0.0061
2021-03-04,RS,Charqueadas,city,2489,27,True,41258,4305355,6032.7694,0.0108
2021-03-04,RS,Charrua,city,255,11,True,3252,4305371,7841.32841,0.0431
2021-03-04,RS,Chiapetta,city,172,6,True,3719,4305405,4624.89917,0.0349
2021-03-04,RS,Chuí,city,176,0,True,6770,4305439,2599.70458,0.0
2021-03-04,RS,Chuvisca,city,24,1,True,5480,4305447,437.9562,0.0417
2021-03-04,RS,Cidreira,city,772,27,True,16583,4305454,4655.36996,0.035
2021-03-04,RS,Ciríaco,city,344,8,True,4719,4305504,7289.68002,0.0233
2021-03-04,RS,Colinas,city,382,1,True,2469,4305587,15471.85095,0.0026
2021-03-04,RS,Colorado,city,247,5,True,3130,4305603,7891.3738,0.0202
2021-03-04,RS,Condor,city,565,4,True,6759,4305702,8359.22474,0.0071
2021-03-04,RS,Constantina,city,662,3,True,9907,4305801,6682.14394,0.0045
2021-03-04,RS,Coqueiro Baixo,city,96,0,True,1495,4305835,6421.40468,0.0
2021-03-04,RS,Coqueiros do Sul,city,69,2,True,2286,4305850,3018.3727,0.029
2021-03-04,RS,Coronel Barros,city,120,0,True,2520,4305871,4761.90476,0.0
2021-03-04,RS,Coronel Bicaco,city,218,4,True,7268,4305900,2999.44964,0.0183
2021-03-04,RS,Coronel Pilar,city,60,1,True,1614,4305934,3717.47212,0.0167
2021-03-04,RS,Cotiporã,city,350,3,True,3838,4305959,9119.33299,0.0086
2021-03-04,RS,Coxilha,city,204,7,True,2743,4305975,7437.11265,0.0343
2021-03-04,RS,Crissiumal,city,376,8,True,13357,4306007,2815.00337,0.0213
2021-03-04,RS,Cristal,city,363,5,True,8067,4306056,4499.81406,0.0138
2021-03-04,RS,Cristal do Sul,city,116,1,True,2844,4306072,4078.76231,0.0086
2021-03-04,RS,Cruz Alta,city,4526,83,True,59922,4306106,7553.15243,0.0183
2021-03-04,RS,Cruzaltense,city,87,2,True,1799,4306130,4836.02001,0.023
2021-03-04,RS,Cruzeiro do Sul,city,780,10,True,12402,4306205,6289.30818,0.0128
2021-03-04,RS,David Canabarro,city,430,5,True,4736,4306304,9079.39189,0.0116
2021-03-04,RS,Derrubadas,city,180,3,True,2761,4306320,6519.37704,0.0167
2021-03-04,RS,Dezesseis de Novembro,city,13,1,True,2378,4306353,546.67788,0.0769
2021-03-04,RS,Dilermando de Aguiar,city,77,3,True,3002,4306379,2564.9567,0.039
2021-03-04,RS,Dois Irmãos,city,1872,30,True,33119,4306403,5652.34458,0.016
2021-03-04,RS,Dois Irmãos das Missões,city,113,0,True,2008,4306429,5627.49004,0.0
2021-03-04,RS,Dois Lajeados,city,185,0,True,3405,4306452,5433.18649,0.0
2021-03-04,RS,Dom Feliciano,city,141,5,True,15487,4306502,910.44102,0.0355
2021-03-04,RS,Dom Pedrito,city,1251,16,True,38339,4306601,3262.9959,0.0128
2021-03-04,RS,Dom Pedro de Alcântara,city,36,3,True,2527,4306551,1424.61417,0.0833
2021-03-04,RS,Dona Francisca,city,36,2,True,2999,4306700,1200.40013,0.0556
2021-03-04,RS,Doutor Maurício Cardoso,city,191,6,True,4462,4306734,4280.59166,0.0314
2021-03-04,RS,Doutor Ricardo,city,158,0,True,1975,4306759,8000.0,0.0
2021-03-04,RS,Eldorado do Sul,city,2793,48,True,41902,4306767,6665.55296,0.0172
2021-03-04,RS,Encantado,city,1091,23,True,22880,4306809,4768.35664,0.0211
2021-03-04,RS,Encruzilhada do Sul,city,620,13,True,25960,4306908,2388.28968,0.021
2021-03-04,RS,Engenho Velho,city,66,0,True,982,4306924,6720.9776,0.0
2021-03-04,RS,Entre-Ijuís,city,631,11,True,8411,4306932,7502.08061,0.0174
2021-03-04,RS,Entre Rios do Sul,city,127,4,True,2758,4306957,4604.78608,0.0315
2021-03-04,RS,Erebango,city,154,1,True,2982,4306973,5164.31925,0.0065
2021-03-04,RS,Erechim,city,8322,79,True,106633,4307005,7804.33824,0.0095
2021-03-04,RS,Ernestina,city,107,2,True,3170,4307054,3375.39432,0.0187
2021-03-04,RS,Erval Grande,city,174,1,True,4819,4307203,3610.70762,0.0057
2021-03-04,RS,Erval Seco,city,297,2,True,6802,4307302,4366.36283,0.0067
2021-03-04,RS,Esmeralda,city,111,1,True,3287,4307401,3376.93946,0.009
2021-03-04,RS,Esperança do Sul,city,163,7,True,2885,4307450,5649.91334,0.0429
2021-03-04,RS,Espumoso,city,1110,12,True,15591,4307500,7119.49201,0.0108
2021-03-04,RS,Estação,city,429,4,True,5940,4307559,7222.22222,0.0093
2021-03-04,RS,Estância Velha,city,2918,58,True,50672,4307609,5758.60436,0.0199
2021-03-04,RS,Esteio,city,6745,186,True,83279,4307708,8099.28073,0.0276
2021-03-04,RS,Estrela,city,2209,29,True,34399,4307807,6421.69831,0.0131
2021-03-04,RS,Estrela Velha,city,120,1,True,3650,4307815,3287.67123,0.0083
2021-03-04,RS,Eugênio de Castro,city,139,3,True,2352,4307831,5909.86395,0.0216
2021-03-04,RS,Fagundes Varela,city,175,2,True,2741,4307864,6384.53119,0.0114
2021-03-04,RS,Farroupilha,city,4792,59,True,73061,4307906,6558.90283,0.0123
2021-03-04,RS,Faxinal do Soturno,city,270,2,True,6663,4308003,4052.22873,0.0074
2021-03-04,RS,Faxinalzinho,city,167,3,True,2284,4308052,7311.7338,0.018
2021-03-04,RS,Fazenda Vilanova,city,145,4,True,4608,4308078,3146.70139,0.0276
2021-03-04,RS,Feliz,city,1199,9,True,13640,4308102,8790.32258,0.0075
2021-03-04,RS,Flores da Cunha,city,1934,16,True,31063,4308201,6226.05672,0.0083
2021-03-04,RS,Floriano Peixoto,city,71,1,True,1737,4308250,4087.5072,0.0141
2021-03-04,RS,Fontoura Xavier,city,414,8,True,10241,4308300,4042.57397,0.0193
2021-03-04,RS,Formigueiro,city,266,2,True,6616,4308409,4020.55623,0.0075
2021-03-04,RS,Forquetinha,city,60,1,True,2400,4308433,2500.0,0.0167
2021-03-04,RS,Fortaleza dos Valos,city,412,6,True,4285,4308458,9614.93582,0.0146
2021-03-04,RS,Frederico Westphalen,city,2473,24,True,31498,4308508,7851.29215,0.0097
2021-03-04,RS,Garibaldi,city,3097,25,True,35440,4308607,8738.71332,0.0081
2021-03-04,RS,Garruchos,city,21,2,True,2886,4308656,727.65073,0.0952
2021-03-04,RS,Gaurama,city,252,1,True,5489,4308706,4591.00018,0.004
2021-03-04,RS,General Câmara,city,299,13,True,8361,4308805,3576.12726,0.0435
2021-03-04,RS,Gentil,city,101,3,True,1626,4308854,6211.56212,0.0297
2021-03-04,RS,Getúlio Vargas,city,940,12,True,16184,4308904,5808.20564,0.0128
2021-03-04,RS,Giruá,city,1081,28,True,15863,4309001,6814.60001,0.0259
2021-03-04,RS,Glorinha,city,368,12,True,8204,4309050,4485.61677,0.0326
2021-03-04,RS,Gramado,city,5688,69,True,36555,4309100,15560.1149,0.0121
2021-03-04,RS,Gramado dos Loureiros,city,125,1,True,2058,4309126,6073.85811,0.008
2021-03-04,RS,Gramado Xavier,city,99,1,True,4352,4309159,2274.81618,0.0101
2021-03-04,RS,Gravataí,city,12789,330,True,283620,4309209,4509.20245,0.0258
2021-03-04,RS,Guabiju,city,152,0,True,1490,4309258,10201.34228,0.0
2021-03-04,RS,Guaíba,city,4008,132,True,98239,4309308,4079.84609,0.0329
2021-03-04,RS,Guaporé,city,2460,33,True,25968,4309407,9473.19778,0.0134
2021-03-04,RS,Guarani das Missões,city,167,5,True,7463,4309506,2237.70602,0.0299
2021-03-04,RS,Harmonia,city,302,4,True,4917,4309555,6141.95648,0.0132
2021-03-04,RS,Herval,city,215,5,True,6814,4307104,3155.26856,0.0233
2021-03-04,RS,Herveiras,city,40,1,True,3019,4309571,1324.94203,0.025
2021-03-04,RS,Horizontina,city,1316,11,True,19389,4309605,6787.35365,0.0084
2021-03-04,RS,Hulha Negra,city,153,2,True,6836,4309654,2238.15097,0.0131
2021-03-04,RS,Humaitá,city,44,1,True,4736,4309704,929.05405,0.0227
2021-03-04,RS,Ibarama,city,108,1,True,4399,4309753,2455.10343,0.0093
2021-03-04,RS,Ibiaçá,city,357,10,True,4699,4309803,7597.36114,0.028
2021-03-04,RS,Ibiraiaras,city,589,17,True,7265,4309902,8107.36407,0.0289
2021-03-04,RS,Ibirapuitã,city,175,7,True,4000,4309951,4375.0,0.04
2021-03-04,RS,Ibirubá,city,2403,22,True,20413,4310009,11771.91006,0.0092
2021-03-04,RS,Igrejinha,city,2225,54,True,37340,4310108,5958.75736,0.0243
2021-03-04,RS,Ijuí,city,5665,84,True,83764,4310207,6763.04857,0.0148
2021-03-04,RS,Ilópolis,city,162,2,True,4066,4310306,3984.25971,0.0123
2021-03-04,RS,Imbé,city,1711,44,True,23271,4310330,7352.49882,0.0257
2021-03-04,RS,Imigrante,city,164,2,True,3100,4310363,5290.32258,0.0122
2021-03-04,RS,Importados/Indefinidos,city,0,0,True,,,,0.0
2021-03-04,RS,Independência,city,264,2,True,6109,4310405,4321.49288,0.0076
2021-03-04,RS,Inhacorá,city,55,2,True,2215,4310413,2483.06998,0.0364
2021-03-04,RS,Ipê,city,438,4,True,6689,4310439,6548.06399,0.0091
2021-03-04,RS,Ipiranga do Sul,city,63,1,True,1880,4310462,3351.06383,0.0159
2021-03-04,RS,Iraí,city,250,5,True,7141,4310504,3500.91024,0.02
2021-03-04,RS,Itaara,city,209,6,True,5537,4310538,3774.60719,0.0287
2021-03-04,RS,Itacurubi,city,34,3,True,3460,4310553,982.65896,0.0882
2021-03-04,RS,Itapuca,city,63,1,True,2065,4310579,3050.84746,0.0159
2021-03-04,RS,Itaqui,city,1449,18,True,37489,4310603,3865.13377,0.0124
2021-03-04,RS,Itati,city,60,4,True,2397,4310652,2503.12891,0.0667
2021-03-04,RS,Itatiba do Sul,city,104,1,True,3231,4310702,3218.8177,0.0096
2021-03-04,RS,Ivorá,city,44,0,True,1881,4310751,2339.18129,0.0
2021-03-04,RS,Ivoti,city,1652,24,True,24690,4310801,6690.968,0.0145
2021-03-04,RS,Jaboticaba,city,73,1,True,3773,4310850,1934.79989,0.0137
2021-03-04,RS,Jacuizinho,city,54,0,True,2706,4310876,1995.56541,0.0
2021-03-04,RS,Jacutinga,city,186,1,True,3546,4310900,5245.34687,0.0054
2021-03-04,RS,Jaguarão,city,734,9,True,26500,4311007,2769.81132,0.0123
2021-03-04,RS,Jaguari,city,445,18,True,10765,4311106,4133.76684,0.0404
2021-03-04,RS,Jaquirana,city,191,3,True,3662,4311122,5215.72911,0.0157
2021-03-04,RS,Jari,city,41,1,True,3486,4311130,1176.1331,0.0244
2021-03-04,RS,Jóia,city,290,1,True,8566,4311155,3385.47747,0.0034
2021-03-04,RS,Júlio de Castilhos,city,875,8,True,19224,4311205,4551.60216,0.0091
2021-03-04,RS,Lagoa Bonita do Sul,city,23,0,True,2921,4311239,787.40157,0.0
2021-03-04,RS,Lagoa dos Três Cantos,city,163,3,True,1607,4311270,10143.12383,0.0184
2021-03-04,RS,Lagoão,city,119,3,True,6461,4311254,1841.82015,0.0252
2021-03-04,RS,Lagoa Vermelha,city,1812,25,True,27778,4311304,6523.14781,0.0138
2021-03-04,RS,Lajeado,city,9611,81,True,85033,4311403,11302.67073,0.0084
2021-03-04,RS,Lajeado do Bugre,city,130,4,True,2566,4311429,5066.25097,0.0308
2021-03-04,RS,Lavras do Sul,city,134,3,True,7444,4311502,1800.10747,0.0224
2021-03-04,RS,Liberato Salzano,city,199,4,True,5152,4311601,3862.57764,0.0201
2021-03-04,RS,Lindolfo Collor,city,324,5,True,6125,4311627,5289.79592,0.0154
2021-03-04,RS,Linha Nova,city,75,1,True,1719,4311643,4363.00175,0.0133
2021-03-04,RS,Maçambará,city,144,4,True,4562,4311718,3156.5103,0.0278
2021-03-04,RS,Machadinho,city,441,4,True,5427,4311700,8126.03648,0.0091
2021-03-04,RS,Mampituba,city,238,0,True,2973,4311734,8005.38177,0.0
2021-03-04,RS,Manoel Viana,city,219,3,True,7307,4311759,2997.12604,0.0137
2021-03-04,RS,Maquiné,city,316,8,True,6681,4311775,4729.83086,0.0253
2021-03-04,RS,Maratá,city,127,1,True,2702,4311791,4700.22206,0.0079
2021-03-04,RS,Marau,city,4877,48,True,44858,4311809,10872.08525,0.0098
2021-03-04,RS,Marcelino Ramos,city,131,3,True,4319,4311908,3033.10952,0.0229
2021-03-04,RS,Mariana Pimentel,city,125,3,True,3888,4311981,3215.02058,0.024
2021-03-04,RS,Mariano Moro,city,139,2,True,2009,4312005,6918.86511,0.0144
2021-03-04,RS,Marques de Souza,city,174,3,True,3995,4312054,4355.44431,0.0172
2021-03-04,RS,Mata,city,10,1,True,4797,4312104,208.46362,0.1
2021-03-04,RS,Mato Castelhano,city,186,4,True,2542,4312138,7317.07317,0.0215
